budget,vote_average,vote_count,runtime,status,revenue,com_website,title_len,is_in_collection,en_language,fr_language,hi_language,es_language,ja_language,ru_language,it_language,ko_language,ta_language,zh_language,genre_10749,genre_18,genre_35,genre_53,genre_80,year,month
2000000,7.2,304,105.0,1,21665468,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1992,4
7000000,3.5,54,105.0,1,8914881,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1984,8
100000,4.9,754,87.0,1,42664410,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,10
50000000,5.9,975,97.0,1,42277365,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,9
20000000,6.1,603,107.0,1,46069568,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,2
15000000,5.2,49,93.0,1,76382,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1996,6
50000000,6.2,2383,96.0,1,242786137,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,12
50000000,6.4,4371,107.0,1,216972543,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,6
10000000,6.0,2151,80.0,1,33583175,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1
90000000,7.6,8459,143.0,1,429632142,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,12
22000000,6.6,567,117.0,1,67642693,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1983,7
5000000,6.6,657,99.0,1,9206470,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,4
24000000,6.4,2435,120.0,1,172363301,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,9
7000000,7.3,6593,102.0,1,34266564,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,4
40000000,6.7,612,117.0,1,46442528,0,22,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2005,9
6000000,6.8,200,115.0,1,1317657,0,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982,12
17000000,6.3,620,120.0,1,3758328,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,11
10500000,5.7,659,92.0,1,261465,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,2
60000000,6.6,4530,106.0,1,137551594,0,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,8
9000000,6.8,279,121.0,1,21571189,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,6
4141459,5.5,250,87.0,1,201607,0,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,6
24000000,5.8,207,128.0,1,11875866,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,4
2500000,7.5,978,82.0,1,4736202,0,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,4
12000000,5.7,60,94.0,1,4166918,0,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1997,10
3000000,6.0,48,73.0,1,19010585,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,12
35000000,7.2,5499,126.0,1,411348924,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,6
1200000,7.6,1960,100.0,1,112892319,0,29,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1975,8
85000000,6.4,2687,115.0,1,208076205,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,9
74000000,6.4,8700,91.0,1,1156730962,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,6
19000000,6.6,547,95.0,1,8247943,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,5
51000000,5.7,743,90.0,1,116476887,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,4
33000000,6.1,2022,98.0,1,77068246,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,7
5000000,5.7,438,93.0,1,12534961,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,11
60000000,6.2,1612,101.0,1,82150183,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,12
10500000,7.5,8698,115.0,1,792965500,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982,11
2500000,5.0,62,110.0,1,15014674,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1979,3
20000000,6.8,4049,109.0,1,46089287,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,7
100000000,6.3,2329,106.0,1,150166126,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2009,11
9000000,7.0,537,127.0,1,22088533,0,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,10
20000000,6.5,911,109.0,1,65569869,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,10
20000000,6.3,155,164.0,1,31678778,0,16,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1969,10
4100000,6.9,54,136.0,1,5100000,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,4
42000000,6.0,2141,90.0,1,178311729,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2004,1
14000000,6.6,130,109.0,1,27515786,0,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1993,7
2000000,6.4,628,82.0,1,13167232,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,11
8000000,7.1,2903,100.0,1,39187783,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,9
