,budget,vote_average,vote_count,runtime,status,revenue,id_collection,id_genres,id_production_companies,id_keywords,id_countries,id_lan,com_website,title_len,pop_words,is_in_collection,en_language,fr_language,hi_language,es_language,ja_language,ru_language,it_language,ko_language,ta_language,zh_language,genre_ 10402,genre_ 10749,genre_ 10751,genre_ 10752,genre_ 10770,genre_ 12,genre_ 14,genre_ 16,genre_ 18,genre_ 27,genre_ 28,genre_ 35,genre_ 36,genre_ 37,genre_ 53,genre_ 80,genre_ 878,genre_ 9648,genre_ 99,genre_10402,genre_10749,genre_10751,genre_10752,genre_10770,genre_12,genre_14,genre_16,genre_18,genre_27,genre_28,genre_35,genre_36,genre_37,genre_53,genre_80,genre_878,genre_9648,genre_99,genre_<NA>,year,month
0,0,0.0,0,0.0,Post Production,0,558216,"28, 878","7505, 84041, 5, 34, 81620","1701, 2095, 3289, 9663, 9715, 9717, 193132","'CN', 'US'",'en',0,27,"['to', 'the', 'hit', 'film']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2021.0,9.0
1,0,6.8,3,119.0,Released,0,,"18, 80",<NA>,<NA>,'ES','es',0,13,"['an', 'lawyer', 'and', 'a', 'woman', 'caught', 'in', 'a', 'of', 'team', 'up', 'to', 'uncover', 'the', 'truth', 'behind', 'a', 'death', 'in', 'a']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020.0,11.0
2,2300000,5.2,82,90.0,Released,0,,"53, 27","1632, 25545, 5176","242, 33347",'US','en',0,9,"['a', 'man', 'becomes', 'the', 'of', 'a', 'new', 'york', 'city', 'apartment', 'where', 'people', 'go']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018.0,8.0
3,0,6.7,251,93.0,Released,0,,35,"9195, 10531","1336, 1808, 1930, 4480, 10123, 216966",'US','en',0,15,"['a', 'by', 'a', 'his', 'wife', 'in', 'that', 'their', 'enemy', 'is', 'they']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1986.0,6.0
4,0,5.9,38,78.0,Released,0,,"35, 18",105165,<NA>,<NA>,'en',0,20,"['a', 'makes', 'her', 'more', 'popular', 'at', 'school,', 'so', 'when', 'she', 'goes', 'into', 'she', 'decides', 'to', 'the']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018.0,10.0
5,0,5.2,64,96.0,Released,0,,27,3052,"1786, 6270, 8635, 11040, 12339, 204967",'US','en',0,14,"['after', 'a', 'high', 'school', 'track', 'named', 'suddenly', 'from', 'a', 'heart', 'attack', 'after', 'a', 'a', 'killer', 'a', 'and', 'a', 'begins', 'killing', 'off', 'her', 'friends', 'on', 'the', 'school', 'track', 'team', 'one', 'by', 'the', 'the', 'track', 'coach', 'sister', 'who', 'arrives', 'in', 'town', 'for', 'the', 'the', 'school', 'mr.', 'and', 'strange', 'boyfriend']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1981.0,1.0
6,0,7.1,6,107.0,Released,0,,"80, 18, 53","18925, 21","642, 9807, 10051","'FR', 'US'","'cn', 'en', 'it'",0,12,"['eddie', 'and', 'his', 'wife,', 'attempt', 'to', 'a', 'new', 'life', 'for', 'themselves', 'and', 'their', 'daughter', 'in', 'san', 'but', 'police', 'officer', 'mike', 'is', 'determined', 'to', 'eddie', 'back', 'to']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1965.0,4.0
7,0,6.5,21,82.0,Released,0,,"14, 27, 10770",68884,<NA>,'US','en',0,10,"['when', 'and', 'her', 'son,', 'move', 'to', 'a', 'small', 'town', 'looking', 'for', 'a', 'they', 'all', 'the', 'wrong', 'of', 'must', 'battle', 'to', 'protect', 'her', 'son', 'and', 'a', 'terrifying', 'secret', 'before', 'the', 'next', 'full', 'reveals', 'all.']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,3.0
8,0,7.2,5,93.0,Released,0,,"35, 27","23972, 132909, 15470",<NA>,"'US', 'IL', 'IT'","'en', 'he'",0,11,"['a', 'party', 'goes']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019.0,10.0
9,49000000,6.7,1415,133.0,Released,0,,"80, 18, 53","877, 2531, 133207","1812, 2492, 5901, 9672, 10230, 41616, 157256, 170212, 214548, 215332, 226499, 230656, 253222",'US','en',0,14,"['in', 'frank', 'and', 'two', 'former', 'texas', 'are', 'to', 'put', 'an', 'end', 'to', 'the', 'of', 'vicious', 'by', 'and', 'a', 'notorious', 'of', 'and', 'who', 'are', 'by', 'the']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019.0,3.0
10,0,6.0,7,91.0,Released,0,,18,5078,"516, 6147, 7665, 11196",'US','en',0,16,"['and', 'dr.', 'jason', 'arrives', 'at', 'a', 'school', 'for', 'girls', 'and', 'immediately', 'begins', 'to', 'try', 'to', 'make', 'a', 'in', 'the', 'lives', 'of', 'some', 'of', 'the', 'to', 'the', 'of', 'the', 'girls', 'by', 'the', 'it', 'takes', 'a', 'girl', 'named', 'to', 'his', 'by', 'a', 'female', 'jason', 'finally', 'gets', 'of', 'the', 'and', 'threatens', 'the', 'head', 'of', 'the', 'school', 'with', 'he', 'is', 'given', 'full', 'to', 'run']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1950.0,5.0
11,0,4.4,12,1.0,Released,0,,27,11483,"9714, 154802, 263548",'GB','xx',0,18,"['george', 'of', '-', 'haunted', 'from', '', 'this', 'film', 'is', 'lost', 'or', 'never', 'of', 'it', 'are', 'actually', 'a']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1897.0,12.0
12,0,6.6,80,105.0,Released,0,91813,"12, 10749, 36",<NA>,"4892, 9194","'FR', 'IT', 'DE'",'fr',0,22,"['this', 'film', 'finds', 'in', 'a', 'north', 'where', 'she', 'is', 'now', 'part', 'of', 'the', 'the', 'first', 'part', 'of', 'the', 'film', 'of', 'her', 'to', 'be', 'as', 'well', 'as', 'their', 'trying', 'to', 'some', 'into', 'her.', 'it', 'all', 'seems', 'to', 'go', 'on', 'too', 'long', 'and', 'was', 'that', 'the', 'have', 'her', 'late', 'in', 'the', 'she', 'finally', 'decides', 'to', 'escape', 'with', 'the', 'help', 'of', 'two']",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968.0,1.0
13,0,6.4,1414,96.0,Released,0,,"10751, 14, 35","7692, 85437","603, 818, 2343, 2710, 3071, 3205, 170362, 189099, 189111, 198780, 208705","'IE', 'GB'",'en',0,14,"['lives', 'in', 'a', 'magical', 'world', 'in', 'which', 'each', 'at', 'the', 'of', 'their', 'is', 'given', 'a', 'from', 'a', 'however,', 'is', 'this', 'proves', 'to', 'be', 'quite', 'the', 'once', 'finds', 'herself', 'in', 'the', 'hands', 'of', 'several', 'characters', 'whom', 'she', 'quite', 'determined', 'to', 'control', 'of', 'her', 'life', 'and', 'sets', 'off', 'on', 'a', 'journey', 'to', 'find', 'her', 'who', 'she', 'hopes', 'will', 'the', 'the', 'however,', ""isn't"", 'easy', '--', 'must', 'a', 'of', 'including', 'and', 'prince', 'evil', 'who', 'wants', 'to', 'take', 'over', 'the', 'and', 'the']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0,9.0
14,0,4.7,9,85.0,Released,0,,<NA>,<NA>,"222, 10199, 158718, 264384",<NA>,<NA>,0,17,"['two', 'college', 'students', 'fall', 'in', 'love', 'one', 'year', 'before', 'and', 'have', 'until', 'one', 'of', 'them', 'develops']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018.0,12.0
15,0,6.6,137,84.0,Released,0,87014,"35, 28",174,"977, 3289, 15162, 33705",'US',"'en', 'fr', 'de'",0,25,"[""it's"", 'been', 'ten', 'years', 'since', 'the', 'of', 'the', 'great', 'an', 'and', 'by', 'and', 'to', 'keep', 'the', 'peace', 'when', 'but', 'when', 'a', 'into', 'to', 'use', 'only', 'by', 'and', 'he', 'them', 'into', 'and', 'the', 'battle', 'between', 'and', 'is', 'back', 'now,', 'a', 'team', 'of', 'and', 'agents', 'will', 'have', 'to', 'use', 'their', 'to', 'order', 'and', 'peace', 'between', 'and']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020.0,2.0
